G,Date,Time,Day,School,,Opponent,State,Conf,,Pts,Opp,W,L,Streak,Notes
1,Sep 1 2018,,Sat,(10) Penn State,,Appalachian State,NC,Sun Belt,W,45,38,1,0,W 1,
2,Sep 8 2018,8:00 PM,Sat,(13) Penn State,@,Pitt,PA,ACC,W,51,6,2,0,W 2,
3,Sep 15 2018,,Sat,(10) Penn State,,Kent State,OH,MAC,W,63,10,3,0,W 3,
4,Sep 21 2018,9:00 PM,Fri,(10) Penn State,@,Illinois,IL,Big Ten,W,63,24,4,0,W 4,
5,Sep 29 2018,7:30 PM,Sat,(9) Penn State,,(4) Ohio State,OH,Big Ten,L,26,27,4,1,L 1,
6,Oct 13 2018,3:30 PM,Sat,(8) Penn State,,Michigan State,MI,Big Ten,L,17,21,4,2,L 2,
7,Oct 20 2018,3:30 PM,Sat,(18) Penn State,@,Indiana,IN,Big Ten,W,33,28,5,2,W 1,
8,Oct 27 2018,3:30 PM,Sat,(17) Penn State,,(18) Iowa,IA,Big Ten,W,30,24,6,2,W 2,
9,Nov 3 2018,3:45 PM,Sat,(14) Penn State,@,(5) Michigan,MI,Big Ten,L,7,42,6,3,L 1,
10,Nov 10 2018,12:00 PM,Sat,(21) Penn State,,Wisconsin,WI,Big Ten,W,22,10,7,3,W 1,
11,Nov 17 2018,12:00 PM,Sat,(16) Penn State,@,Rutgers,NJ,Big Ten,W,20,7,8,3,W 2,
12,Nov 24 2018,3:30 PM,Sat,(15) Penn State,,Maryland,MD,Big Ten,W,38,3,9,3,W 3,
13,Jan 1 2019,1:00 PM,Tue,(13) Penn State,N,(16) Kentucky,KY,SEC,L,24,27,9,4,L 1,Citrus Bowl
